is_mt,latitude,longitude
0,40.596676,-73.950745
0,40.7228993,-73.9138483
0,40.6660102,-73.78953
0,40.523136,-74.21625
0,40.662254,-73.89337
0,40.715398,-73.7727588
0,40.6517331,-73.930381
0,40.765507,-73.80423
0,40.7068521,-73.9481952
0,40.6709685,-73.7700984
1,40.7460781,-73.9749359
1,40.717297,-74.00157
0,40.7097098,-73.8134181
0,40.7462893,-73.9332631
1,40.7608228,-73.9983142
1,40.7152372,-74.0133794
0,40.7646243,-73.8717745
0,40.6891732,-73.7290764
0,40.6852699,-73.842476
1,40.744443,-73.9790578
0,40.7418123,-73.919919
1,40.7681691,-73.9527865
1,40.7846103,-73.9698334
0,40.748493,-73.89793
1,40.7597902,-73.9879256
0,40.6359357,-74.0758465
0,40.6687978,-73.9311201
1,40.7970036,-73.9377739
0,40.6845033,-73.9263842
1,40.79841,-73.938995
0,40.703247,-73.90844
0,40.7142397,-73.8073525
0,40.765675,-73.78016
0,40.6040288,-73.952294
1,40.7671845,-73.9624695
0,40.6528929,-73.8667311
0,40.691326,-73.92026
0,40.5319181,-74.1917442
0,40.75658,-73.9297516
0,40.74421,-73.860825
0,40.6392972,-73.9840884
0,40.69141,-73.9038
1,40.7416432,-73.9781673
0,40.568993,-74.11994
0,40.6709017,-73.9968493
0,40.579803,-73.97184
0,40.6552636,-73.9189273
0,40.6243844,-73.946422
0,40.6828007,-73.9063754
0,40.57849,-73.93502
0,40.622482,-73.96373
1,40.826233,-73.935715
0,40.6113676,-74.0348713
0,40.7463333,-73.8963254
1,40.7595778,-73.9680255
0,40.6567832,-73.9137787
0,40.627188,-74.0265614
1,40.8094965,-73.9358079
0,40.7490628,-73.8703788
0,40.6756249,-73.8987786
0,40.676666,-73.96572
1,40.7272615,-73.9826567
1,40.730354,-74.00834
0,40.71579,-73.7974856
0,40.6652573,-73.7395512
1,40.834061,-73.9448799
0,40.7161715,-73.8823795
0,40.7124035,-73.9035816
0,40.7492455,-73.7764763
1,40.7339649,-73.9887782
0,40.6453105,-73.9460737
0,40.7160306,-73.8235839
0,40.5783751,-73.9388668
1,40.7605353,-73.9583509
1,40.7452298,-74.0059583
0,40.6962473,-73.764353
1,40.7935573,-73.967016
0,40.7079288,-73.783825
0,40.6644959,-73.9343074
0,40.739193,-73.85488
1,40.7063749,-74.0071306
1,40.7236309,-74.0114726
1,40.7242734,-73.9908182
0,40.6524639,-73.9228481
1,40.7024083,-74.012825
1,40.7636578,-73.9734636
1,40.7597301,-73.9916833
0,40.6665828,-73.7334361
0,40.6691002,-73.9366568
0,40.6950048,-73.9524886
0,40.5831319,-73.9653918
0,40.716669,-73.952051
0,40.748215,-73.87846
0,40.5952174,-73.7580012
0,40.6945695,-73.9906673
1,40.7553303,-73.9911785
0,40.69409,-73.9342674
1,40.75831,-73.96294
0,40.7105825,-73.7835531
0,40.679254,-73.8187058
1,40.7781668,-73.9745338
0,40.665348,-73.72986
1,40.7460781,-73.9749359
1,40.7265271,-73.9958437
1,40.8228364,-73.9419157
0,40.6503881,-73.958708
0,40.6307566,-74.0001441
0,40.6401038,-73.9146074
0,40.5830571,-73.9631202
0,40.7332803,-73.9521293
0,40.7526926,-73.9329102
0,40.7140668,-73.9516237
1,40.7140687,-73.9975038
0,40.7297705,-73.8734147
0,40.6737598,-73.7947256
0,40.6788433,-73.754179
1,40.7494844,-73.9753821
1,40.719166,-74.005554
0,40.6324369,-73.8881726
0,40.651405,-73.758896
0,40.66708,-73.81033
0,40.755392,-73.8282803
0,40.7241881,-73.7908795
0,40.678466,-73.9284242
0,40.6545182,-73.8822143
1,40.8057295,-73.9385424
1,40.744099,-73.9956441
1,40.7564532,-74.0015016
0,40.5209185,-74.2351117
0,40.6997662,-73.9342582
1,40.7460038,-73.9942618
1,40.763547,-73.9693376
1,40.7515235,-73.9939473
0,40.70248,-73.831024
0,40.5882225,-73.9716755
0,40.6114632,-73.9243649
0,40.7870423,-73.8214566
1,40.7679171,-73.9857147
0,40.5209185,-74.2351117
1,40.723648,-73.99103
0,40.7487179,-73.8736999
0,40.719279,-73.8156785
0,40.6730798,-73.9112306
0,40.75598,-73.91373
0,40.6572461,-73.912423
0,40.6746635,-73.7950545
1,40.80293,-73.96759
0,40.6176848,-73.9846519
0,40.6095362,-73.7537175
0,40.7460347,-73.9344002
0,40.7133723,-73.9348039
0,40.7153257,-73.7866219
0,40.749062,-73.8908172
0,40.6735002,-73.9861099
1,40.7502815,-73.981124
0,40.6129575,-73.9590769
1,40.75979,-73.98793
1,40.7553558,-73.9774157
0,40.6120038,-73.9905599
1,40.7627496,-73.9969136
0,40.70874,-73.78603
0,40.7048304,-73.9663241
0,40.6783648,-73.7794791
0,40.740875,-73.89962
0,40.611034,-74.09951
0,40.754252,-73.8135316
1,40.7192038,-73.9903644
1,40.8378034,-73.9421411
1,40.7779294,-73.9820802
1,40.747925,-73.973607
0,40.777016,-73.79336
0,40.6175171,-74.0686576
1,40.7373607,-73.996839
0,40.7577537,-73.7833817
0,40.7312465,-73.8655245
1,40.8284185,-73.9355078
1,40.7408791,-73.990069
1,40.768595,-73.9852164
0,40.6090498,-73.970896
0,40.71196,-73.9407
0,40.7334973,-73.8703694
0,40.6243269,-74.0307065
0,40.7270831,-73.7801693
0,40.766359,-73.8875543
0,40.57732,-73.971313
1,40.7416452,-74.0048609
1,40.75783,-73.99125
0,40.62387,-74.079219
0,40.6873594,-73.9978726
0,40.6824939,-73.9796145
0,40.6451307,-73.9489638
0,40.6874963,-73.9329578
0,40.7013909,-73.831521
0,40.6403468,-74.000926
1,40.7641704,-73.9847336
1,40.780693,-73.9466
0,40.640694,-73.99698
1,40.824562,-73.93814
0,40.6772073,-73.897226
0,40.706964,-73.7904935
0,40.76226,-73.7569828
0,40.5958903,-74.0858762
0,40.729804,-73.7446569
0,40.703995,-73.91123
1,40.7202352,-73.9844767
0,40.6481525,-74.0108218
0,40.677612,-73.97299
0,40.6724944,-73.7415777
1,40.7573632,-73.9606703
1,40.7997827,-73.9681976
1,40.7326034,-73.9876815
0,40.6684753,-73.857789
0,40.7617451,-73.8135251
1,40.7116973,-74.0008729
0,40.6094167,-73.9676868
0,40.7168065,-73.852228
1,40.84468,-73.9388533
1,40.7199041,-74.002601
